verse_id,doc_id,match,tokens,tfidf,proportion,runs_pval,sim_total,sim_mean
John 7:17 (KJV),sn84026688/1903-02-05/ed-1/seq-1/,quotation,9,1.1150688635871504,0.10714285714285714,0.07746633505304673,0,0
Matthew 6:13 (KJV),sn86072143/1876-12-01/ed-1/seq-1/,quotation,24,3.0669013280457693,0.2857142857142857,1.3854563038452978e-51,0,0
Isaiah 28:15 (KJV),sn84020104/1853-12-16/ed-1/seq-4/,noise,2,0.05204886698704531,0.005555555555555556,4.054205153035938e-13,0,0
1 Maccabees 2:21 (KJV),sn83016810/1905-08-05/ed-1/seq-2/,noise,5,1.3303949720201298,0.1388888888888889,0.01979892025426729,0,0
Matthew 14:4 (KJV),sn82014593/1852-02-09/ed-1/seq-2/,quotation,30,5.939179035855809,0.625,1.7691557590069634e-5,0.3684210526315788,0.3684210526315788
Genesis 37:28 (KJV),sn92065637/1896-06-24/ed-1/seq-4/,quotation,66,4.07808693059217,0.39285714285714285,4.634566938390464e-47,0,0
Matthew 24:40 (KJV),sn85033781/1876-07-21/ed-1/seq-3/,quotation,13,2.5963569839089424,0.2708333333333333,1.4710350152251353e-6,1.3620506385177529,0.4540168795059176
Luke 14:11 (KJV),sn88064181/1914-04-03/ed-1/seq-7/,quotation,13,2.1182723629505746,0.21666666666666667,2.7962747216802155e-124,0.5930833872010344,0.2965416936005172
Proverbs 27:12 (KJV),sn87070038/1852-04-15/ed-1/seq-1/,quotation,33,5.59628251348553,0.55,1.8287910535966042e-102,1,1
Isaiah 1:18 (KJV),sn83016957/1842-04-16/ed-1/seq-4/,quotation,36,1.9459045357677052,0.1875,9.258702589485479e-17,0,0
1 Peter 2:23 (KJV),sn89058154/1922-09-29/ed-1/seq-2/,quotation,105,8.405014889492422,0.7954545454545455,3.035097396776e-25,0,0
Matthew 20:26 (KJV),sn84027621/1902-05-19/ed-1/seq-1/,quotation,23,2.9297489414000943,0.2738095238095238,7.076407850156872e-15,0,0
Matthew 16:26 (KJV),sn86053569/1838-11-24/ed-1/seq-1/,quotation,33,2.599280348481644,0.25,1.011052793189827e-6,0.3368421052631579,0.3368421052631579
Psalm 40:1 (KJV),sn90061052/1922-01-19/ed-1/seq-9/,quotation,10,2.0590337744477116,0.20833333333333331,6.420131242858683e-20,0,0
Job 39:24 (KJV),sn84026688/1898-10-27/ed-1/seq-1/,quotation,5,1.1017635745729877,0.10416666666666666,5.821857952352944e-124,0,0
Matthew 20:28 (KJV),sn84026788/1891-11-24/ed-1/seq-1/,quotation,13,1.3375370588672686,0.13541666666666666,2.9774713198033976e-5,0.8695652173913044,0.8695652173913044
Habakkuk 3:2 (KJV),sn92065637/1896-02-19/ed-1/seq-5/,quotation,76,4.3981210312805175,0.4222222222222222,2.4367348134595553e-35,0,0
Ecclesiastes 1:4 (KJV),sn94060041/1894-05-12/ed-1/seq-1/,quotation,110,16.173296874137396,1.5277777777777777,5.3226538869777644e-73,0,0
Ephesians 5:23 (KJV),sn86069867/1899-12-10/ed-1/seq-4/,quotation,12,2.105224376158162,0.2,8.634988487819919e-4,0,0
1 Kings 19:13 (KJV),2010218519/1914-03-28/ed-1/seq-1/,quotation,204,9.717150559015634,0.9444444444444444,3.3747273248003557e-36,0,0
Psalm 107:1 (KJV),sn86061215/1912-11-30/ed-1/seq-8/,quotation,2,0.31464789189366515,0.041666666666666664,1.5072095677104083e-23,4.908408706089118,0.8180681176815198
1 Corinthians 10:24 (KJV),sn83040052/1898-03-04/ed-1/seq-4/,quotation,60,10.968965780470532,1,2.331041185423503e-29,0,0
Mark 10:45 (KJV),sn84026788/1891-11-24/ed-1/seq-1/,quotation,13,1.3375370588672686,0.13541666666666666,2.9774713198033976e-5,0.8695652173913044,0.8695652173913044
1 Samuel 9:2 (KJV),sn89058154/1922-06-02/ed-1/seq-3/,quotation,216,10.407496015958614,1,7.736975694936719e-45,0,0
1 Samuel 17:11 (KJV),sn84024716/1908-08-05/ed-1/seq-4/,quotation,5,0.5290915366440105,0.05208333333333333,9.37160530838902e-8,0,0
Revelation 3:16 (KJV),sn83021327/1877-04-19/ed-1/seq-1/,quotation,124,11.224098282689587,1.0333333333333332,2.6114399070310714e-80,0,0
Hebrews 6:1 (KJV),sn88085187/1915-10-28/ed-1/seq-5/,quotation,153,9.176376869091573,0.85,8.85862884434955e-108,0,0
Psalm 141:3 (KJV),sn85034235/1883-04-12/ed-1/seq-4/,quotation,12,2.652085485078868,0.25,1.479917030950439e-26,0,0
Job 32:8 (KJV),sn84026409/1892-10-05/ed-1/seq-4/,quotation,13,3.9197502818587733,0.3611111111111111,1.848882208485752e-14,0,0
Exodus 28:20 (KJV),sn88064176/1900-07-21/ed-1/seq-3/,quotation,7,1.1437047611415225,0.11666666666666667,1.2233482610196995e-29,0.33734939759036137,0.33734939759036137
